Category,Symbol,Close Price,Today Volume,7-Day Avg Volume,Volume Surge (%)
Smallcap 250,GLAND,3026.2,1560713,870398,179.31
Nifty 500,HAL,5000.5,1669534,934021,178.75
Nifty 500,ABB,7401.5,309537,173396,178.51
Nifty 500,PINELABS,175.08,40641077,22903153,177.45
Smallcap 250,PINELABS,175.08,40641077,22903153,177.45
Nifty 500,WELSPUNLIV,210.28,8012442,4575553,175.11
Smallcap 250,WELSPUNLIV,210.28,8012442,4575553,175.11
Smallcap 250,CASTROLIND,189.16,2950009,1692741,174.27
Nifty 500,CASTROLIND,189.16,2950009,1692741,174.27
Microcap 250,RATNAMANI,2859.2,126387,72635,174.0
Nifty 500,BANKBARODA,234.1,14882166,8580564,173.44
Nifty 500,BAJFINANCE,1039.3,9243637,5403395,171.07
Microcap 250,SHAILY,3455.0,243403,143465,169.66
Nifty 500,ADANIENT,3104.7,5320331,3172413,167.71
Nifty 500,INFY,1035.0,13523332,8070517,167.56
Smallcap 250,MANAPPURAM,320.0,6843857,4108867,166.56
Nifty 500,MANAPPURAM,320.0,6843857,4108867,166.56
Smallcap 250,AFCONS,274.15,924467,556204,166.21
Nifty 500,AFCONS,274.15,924467,556204,166.21
Nifty 500,LINDEINDIA,6352.5,45955,27650,166.2
Smallcap 250,JSWDULUX,3179.2,37589,22733,165.35
Nifty 500,JSWDULUX,3179.2,37589,22733,165.35
Nifty 500,TATAELXSI,3383.0,246498,151436,162.77
Microcap 250,IFBIND,1266.8,51136,31625,161.69
Smallcap 250,AEGISVOPAK,297.65,1911720,1210881,157.88
Nifty 500,AEGISVOPAK,297.65,1911720,1210881,157.88
Nifty 500,NATIONALUM,377.6,9138077,5798595,157.59
Nifty 500,NHPC,76.69,17725525,11273630,157.23
Microcap 250,AXISCADES,1875.7,347025,222289,156.11
Nifty 500,SCHAEFFLER,3933.8,76961,49317,156.05
Microcap 250,APOLLO,422.45,10423875,6681704,156.01
Smallcap 250,HEG,262.75,3288829,2112680,155.67
Nifty 500,HEG,262.75,3288829,2112680,155.67
Nifty 500,ADANIPORTS,1775.0,5527163,3552723,155.58
Nifty 500,TATASTEEL,188.75,45976114,29913822,153.7
Nifty 500,MUTHOOTFIN,2815.0,1026951,668258,153.68
Microcap 250,JAMNAAUTO,128.93,1788854,1168179,153.13
Nifty 500,ATGL,612.3,870902,569538,152.91
Nifty 500,HINDCOPPER,532.3,15095942,9886501,152.69
Smallcap 250,HINDCOPPER,532.3,15095942,9886501,152.69
Nifty 500,COHANCE,443.35,1415593,929628,152.28
Microcap 250,LXCHEM,178.56,1700599,1116781,152.28
Smallcap 250,COHANCE,443.35,1415593,929628,152.28
Smallcap 250,PGEL,542.5,1621246,1068635,151.71
Nifty 500,PGEL,542.5,1621246,1068635,151.71
Nifty 500,NATCOPHARM,826.3,537043,356453,150.66
Smallcap 250,NATCOPHARM,826.3,537043,356453,150.66
Smallcap 250,NBCC,83.6,5688912,3789886,150.11
Nifty 500,NBCC,83.6,5688912,3789886,150.11
Microcap 250,INOXGREEN,175.76,1668520,1124179,148.42
Smallcap 250,ABDL,604.15,320490,217027,147.67
Nifty 500,ABDL,604.15,320490,217027,147.67
Nifty 500,ONGC,234.02,12775414,8666079,147.42
Nifty 500,DIXON,13845.0,368511,250608,147.05
Microcap 250,TSFINV,422.9,86540,58976,146.74
Smallcap 250,IKS,1792.1,206160,140496,146.74
Nifty 500,IKS,1792.1,206160,140496,146.74
Nifty 500,TRITURBINE,565.05,454379,309765,146.69
Smallcap 250,TRITURBINE,565.05,454379,309765,146.69
Microcap 250,METROPOLIS,602.1,471976,322451,146.37
Nifty 500,AXISBANK,1238.5,6679370,4586519,145.63
Smallcap 250,ASAHIINDIA,968.75,220637,152028,145.13
Nifty 500,ASAHIINDIA,968.75,220637,152028,145.13
Microcap 250,SHRIPISTON,4500.8,101461,69967,145.01
Microcap 250,SAMHI,152.43,989423,683467,144.77
Smallcap 250,BANDHANBNK,171.7,11129744,7694718,144.64
Nifty 500,BANDHANBNK,171.7,11129744,7694718,144.64
Microcap 250,BIRLACORPN,836.9,81983,56697,144.6
Microcap 250,BORORENEW,501.95,586380,405630,144.56
Microcap 250,ASTRAMICRO,1706.1,550194,383397,143.51
Nifty 500,POONAWALLA,448.6,963519,679586,141.78
Smallcap 250,POONAWALLA,448.6,963519,679586,141.78
Microcap 250,GOKEX,785.45,287816,203092,141.72
Nifty 500,APTUS,258.28,1132562,799381,141.68
Smallcap 250,APTUS,258.28,1132562,799381,141.68
Smallcap 250,NEULANDLAB,23195.0,57901,40919,141.5
Nifty 500,NEULANDLAB,23195.0,57901,40919,141.5
Nifty 500,ADANIPOWER,214.9,33216590,23522663,141.21
Microcap 250,HEMIPROP,123.18,310498,219892,141.2
Nifty 500,BHEL,433.7,8482631,6042533,140.38
Smallcap 250,ZFCVINDIA,2469.9,88797,63389,140.08
Nifty 500,ZFCVINDIA,2469.9,88797,63389,140.08
Microcap 250,PRAJIND,326.7,676375,487240,138.82
Nifty 500,APOLLOHOSP,8967.0,375474,270511,138.8
Nifty 500,TCS,2208.0,3369412,2431379,138.58
Nifty 500,POWERGRID,265.85,11734668,8487602,138.26
Nifty 500,ICICIBANK,1389.1,14183709,10261555,138.22
Nifty 500,SIEMENS,3949.1,378652,274208,138.09
Nifty 500,ADANIGREEN,1315.0,2490428,1810133,137.58
Microcap 250,UTLSOLAR,451.5,356143,260006,136.97
Microcap 250,SAFARI,1534.2,36130,26433,136.69
Nifty 500,BLUESTARCO,1456.9,714389,523324,136.51
Nifty 500,JUBLINGREA,672.75,379943,280573,135.42
Smallcap 250,JUBLINGREA,672.75,379943,280573,135.42
Microcap 250,TI,530.9,653434,482725,135.36
Nifty 500,HINDPETRO,348.9,5785349,4291098,134.82
Nifty 500,AUBANK,1060.5,1294282,964470,134.2
Nifty 500,CDSL,1368.6,1312217,979921,133.91
Smallcap 250,CDSL,1368.6,1312217,979921,133.91
Smallcap 250,RAMCOCEM,866.85,177473,132794,133.64
Nifty 500,RAMCOCEM,866.85,177473,132794,133.64
Nifty 500,POLICYBZR,1800.0,1177932,887246,132.76
Nifty 500,ICICIGI,1474.0,974836,735158,132.6
Nifty 500,IDBI,81.56,22147032,16731675,132.37
Smallcap 250,IDBI,81.56,22147032,16731675,132.37
Microcap 250,AARTIPHARM,829.65,557728,421968,132.17
Nifty 500,BHARTIHEXA,1544.8,74732,56725,131.74
Smallcap 250,BATAINDIA,661.05,141443,108293,130.61
Nifty 500,BATAINDIA,661.05,141443,108293,130.61
Smallcap 250,IGIL,311.5,601836,461014,130.55
Nifty 500,IGIL,311.5,601836,461014,130.55
Nifty 500,M&MFIN,363.75,2529221,1942916,130.18
Microcap 250,BLUESTONE,874.4,1010511,777435,129.98
Microcap 250,WEBELSOLAR,78.36,3122487,2406361,129.76
Nifty 500,UBL,1266.7,189906,146468,129.66
Smallcap 250,NAVA,561.15,309931,239313,129.51
Nifty 500,NAVA,561.15,309931,239313,129.51
Microcap 250,IIFLCAPS,338.05,492702,381006,129.32
Microcap 250,KRBL,434.45,688221,533735,128.94
Microcap 250,OSWALPUMPS,282.75,704252,546620,128.84
Nifty 500,NTPCGREEN,88.03,2698257,2104616,128.21
Microcap 250,DBL,393.0,82862,64786,127.9
Microcap 250,CELLO,337.4,252410,197422,127.85
Nifty 500,EMMVEE,328.9,1636455,1281796,127.67
Smallcap 250,EMMVEE,328.9,1636455,1281796,127.67
Smallcap 250,ZENTEC,1762.3,447747,352460,127.03
Nifty 500,ZENTEC,1762.3,447747,352460,127.03
Nifty 500,ENDURANCE,2755.7,117150,92835,126.19
Nifty 500,APOLLOTYRE,422.25,540797,428576,126.18
Nifty 500,WIPRO,167.0,11990872,9512183,126.06
Nifty 500,NTPC,334.5,11790599,9357394,126.0
Nifty 500,GODFRYPHLP,1978.5,184189,146499,125.73
Microcap 250,SHAKTIPUMP,467.8,389409,311851,124.87
Nifty 500,SUZLON,45.45,52486626,42048394,124.82
Microcap 250,IXIGO,167.54,1901446,1525170,124.67
Smallcap 250,IIFL,605.15,4680640,3754316,124.67
Nifty 500,IIFL,605.15,4680640,3754316,124.67
Nifty 500,CGPOWER,926.95,3454443,2775114,124.48
Microcap 250,V2RETAIL,219.67,1035755,833257,124.3
Microcap 250,MTARTECH,7501.0,147136,118591,124.07
Microcap 250,VMART,821.2,101696,82104,123.86
Nifty 500,INDIANB,856.65,1463837,1181927,123.85
Microcap 250,QUESS,355.0,821558,664099,123.71
Microcap 250,ORIENTCEM,126.28,241219,195858,123.16
Microcap 250,AKUMS,741.1,433261,351998,123.09
Microcap 250,CRAMC,238.7,573514,466507,122.94
Nifty 500,ULTRACEMCO,10900.0,325454,265667,122.5
Smallcap 250,TIMKEN,3173.4,30907,25231,122.49
Nifty 500,TIMKEN,3173.4,30907,25231,122.49
Nifty 500,IDEA,15.52,538874989,443086848,121.62
Nifty 500,MSUMI,36.72,9187666,7760111,118.4
Smallcap 250,MSUMI,36.72,9187666,7760111,118.4
Nifty 500,BDL,1218.1,1337133,1134306,117.88
Nifty 500,HINDZINC,605.4,6310982,5355577,117.84
Nifty 500,BANKINDIA,141.06,6060719,5145516,117.79
Nifty 500,RITES,211.13,329214,280620,117.32
Smallcap 250,RITES,211.13,329214,280620,117.32
Nifty 500,HDFCBANK,687.1,39138036,33406723,117.16
Nifty 500,DABUR,371.55,2451816,2095491,117.0
Microcap 250,DYNAMATECH,11625.0,15934,13648,116.74
Nifty 500,SBILIFE,1684.0,1019853,877899,116.17
Nifty 500,IRCTC,469.5,687521,592306,116.08
Nifty 500,MANKIND,2265.0,265986,229601,115.85
Smallcap 250,ZENSARTECH,436.95,870371,754298,115.39
Nifty 500,ZENSARTECH,436.95,870371,754298,115.39
Microcap 250,TANLA,509.3,500347,434115,115.26
Microcap 250,PARAS,1470.0,1212675,1055926,114.84
Nifty 500,LICI,407.5,5490787,4833629,113.6
Smallcap 250,GODIGIT,253.3,187037,165020,113.34
Nifty 500,GODIGIT,253.3,187037,165020,113.34
Smallcap 250,RAINBOW,1451.1,97345,85944,113.26
Nifty 500,RAINBOW,1451.1,97345,85944,113.26
Microcap 250,STYRENIX,2146.5,47525,42136,112.79
Microcap 250,THANGAMAYL,5118.0,88997,78902,112.79
Nifty 500,COLPAL,1800.0,518473,460220,112.66
Nifty 500,VEDL,272.5,8619557,7665499,112.45
Smallcap 250,ANURAS,1229.6,201726,179518,112.37
Nifty 500,ANURAS,1229.6,201726,179518,112.37
Microcap 250,RATEGAIN,841.4,497460,443563,112.15
Nifty 500,HINDALCO,1026.9,3255358,2907278,111.97
Nifty 500,MAZDOCK,2408.8,563485,503997,111.8
Smallcap 250,IRCON,115.08,1372698,1232515,111.37
Nifty 500,IRCON,115.08,1372698,1232515,111.37
Nifty 500,ABSLAMC,1066.5,233590,209846,111.31
Smallcap 250,ABSLAMC,1066.5,233590,209846,111.31
Nifty 500,NETWEB,4898.5,1695473,1530086,110.81
Smallcap 250,NETWEB,4898.5,1695473,1530086,110.81
Microcap 250,KNRCON,122.9,1893878,1709818,110.76
Microcap 250,SUDEEPPHRM,1277.3,318502,288330,110.46
Microcap 250,GRINDWELL,1893.1,18387,16663,110.35
Smallcap 250,ACUTAAS,3241.8,282095,255958,110.21
Nifty 500,ACUTAAS,3241.8,282095,255958,110.21
Smallcap 250,CONCORDBIO,1464.5,140984,128121,110.04
Nifty 500,CONCORDBIO,1464.5,140984,128121,110.04
